y_pred,y_pred_price,y_true,signal,direction_pred,direction_true,fecha_inicio_ventana,fecha_fin_ventana,error,abs_error,sq_error,horizon,threshold_pips,pnl,pnl_cum
1.08077,1.08077,1.08169,0.0,0.0,1.0,2023-12-06,2025-11-10,0.00092,0.00092,8.464000000000587e-07,1,12.0,1.08169,58.72075000000001
1.08169,1.08169,1.0823,0.0,0.0,1.0,2023-12-06,2025-11-10,0.0006099999999999,0.0006099999999999,3.720999999999993e-07,1,12.0,1.0823,59.80305000000001
1.0823,1.0823,1.08203,0.0,0.0,-1.0,2023-12-06,2025-11-10,-0.0002699999999999,0.0002699999999999,7.289999999999593e-08,1,12.0,1.08203,60.885080000000016
1.08203,1.08203,1.08505,-1.0,0.0,1.0,2023-12-06,2025-11-10,0.00302,0.00302,9.120400000000135e-06,1,12.0,1.08505,61.97013000000002
1.08505,1.08505,1.08442,0.0,0.0,-1.0,2023-12-06,2025-11-10,-0.0006300000000001,0.0006300000000001,3.969000000001644e-07,1,12.0,1.08442,63.05455000000002
1.08442,1.08442,1.08372,0.0,0.0,-1.0,2023-12-06,2025-11-10,-0.0006999999999999,0.0006999999999999,4.899999999998921e-07,1,12.0,1.08372,64.13827000000002
1.08372,1.08372,1.08042,1.0,0.0,-1.0,2023-12-06,2025-11-10,-0.0033,0.0033,1.0890000000000533e-05,1,12.0,1.08042,65.21869000000002
1.08042,1.08042,1.08388,-1.0,0.0,1.0,2023-12-06,2025-11-10,0.00346,0.00346,1.197160000000013e-05,1,12.0,1.08388,66.30257000000002
1.08388,1.08388,1.08555,-1.0,0.0,1.0,2023-12-06,2025-11-10,0.00167,0.00167,2.7889000000002017e-06,1,12.0,1.08555,67.38812000000001
1.08555,1.08555,1.08559,0.0,0.0,1.0,2023-12-06,2025-11-10,4.000000000004e-05,4.000000000004e-05,1.6000000000032e-09,1,12.0,1.08559,68.47371000000001
1.08559,1.08559,1.08975,-1.0,0.0,1.0,2023-12-06,2025-11-10,0.0041599999999999,0.0041599999999999,1.7305599999999515e-05,1,12.0,1.08975,69.56346
1.08975,1.08975,1.09483,-1.0,0.0,1.0,2023-12-06,2025-11-10,0.0050799999999999,0.0050799999999999,2.580639999999973e-05,1,12.0,1.09483,70.65829000000001
1.09483,1.09483,1.09393,0.0,0.0,-1.0,2023-12-06,2025-11-10,-0.0008999999999999,0.0008999999999999,8.099999999998216e-07,1,12.0,1.09393,71.75222000000001
1.09393,1.09393,1.09255,1.0,0.0,-1.0,2023-12-06,2025-11-10,-0.0013800000000001,0.0013800000000001,1.9044000000004385e-06,1,12.0,1.09255,72.84477000000001
1.09255,1.09255,1.09253,0.0,0.0,-1.0,2023-12-06,2025-11-10,-1.999999999990898e-05,1.999999999990898e-05,3.999999999963592e-10,1,12.0,1.09253,73.93730000000001
1.09253,1.09253,1.09477,-1.0,0.0,1.0,2023-12-06,2025-11-10,0.00224,0.00224,5.017600000000088e-06,1,12.0,1.09477,75.03207
1.09477,1.09477,1.08837,1.0,0.0,-1.0,2023-12-06,2025-11-10,-0.0063999999999999,0.0063999999999999,4.095999999999951e-05,1,12.0,1.08837,76.12044
1.08837,1.08837,1.08838,0.0,0.0,1.0,2023-12-06,2025-11-10,9.999999999843467e-06,9.999999999843467e-06,9.999999999686933e-11,1,12.0,1.08838,77.20882
1.08838,1.08838,1.08719,0.0,0.0,-1.0,2023-12-06,2025-11-10,-0.0011899999999998,0.0011899999999998,1.4160999999995296e-06,1,12.0,1.08719,78.29601000000001
1.08719,1.08719,1.08647,0.0,0.0,-1.0,2023-12-06,2025-11-10,-0.00072,0.00072,5.184000000000777e-07,1,12.0,1.08647,79.38248000000002
1.08647,1.08647,1.09196,-1.0,0.0,1.0,2023-12-06,2025-11-10,0.0054899999999999,0.0054899999999999,3.0140099999999945e-05,1,12.0,1.09196,80.47444000000002
1.09196,1.09196,1.08604,1.0,0.0,-1.0,2023-12-06,2025-11-10,-0.0059199999999999,0.0059199999999999,3.504639999999912e-05,1,12.0,1.08604,81.56048000000001
1.08604,1.08604,1.08057,1.0,0.0,-1.0,2023-12-06,2025-11-10,-0.00547,0.00547,2.992090000000094e-05,1,12.0,1.08057,82.64105
1.08057,1.08057,1.08357,-1.0,0.0,1.0,2023-12-06,2025-11-10,0.0029999999999998,0.0029999999999998,8.99999999999935e-06,1,12.0,1.08357,83.72462
1.08357,1.08357,1.08315,0.0,0.0,-1.0,2023-12-06,2025-11-10,-0.0004199999999998,0.0004199999999998,1.7639999999988654e-07,1,12.0,1.08315,84.80777
1.08315,1.08315,1.08257,0.0,0.0,-1.0,2023-12-06,2025-11-10,-0.00058,0.00058,3.364000000000289e-07,1,12.0,1.08257,85.89034000000001
1.08257,1.08257,1.07874,1.0,0.0,-1.0,2023-12-06,2025-11-10,-0.00383,0.00383,1.46689e-05,1,12.0,1.07874,86.96908
1.07874,1.07874,1.0787,0.0,0.0,-1.0,2023-12-06,2025-11-10,-4.000000000004e-05,4.000000000004e-05,1.6000000000032e-09,1,12.0,1.0787,88.04778
